#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
-0.58024,187,5049.948459
2.164175,142,5059.740766
-1.900988,129,5068.67689
-4.505514,124,5077.484616
-0.747586,109,5084.167261
1.552751,125,5092.985449
-3.668758,198,5107.155917
2.330215,112,5115.256172
14.800076,43,5118.778314
0.390924,82,5124.161798
-5.231661,191,5137.955148
-1.121657,113,5146.125936
1.290938,190,5159.77642
-9.054663,176,5172.709635
-1.753066,153,5183.112021
7.500271,2,5183.179476
1.551727,141,5192.903184
-1.11048,111,5200.985611
-1.955047,178,5214.043963
-3.536929,166,5225.152474
-0.149918,153,5236.79548
-1.711836,181,5250.078263
-0.207503,114,5257.000993
12.861667,18,5259.21447
1.908169,202,5273.655608
0.563172,123,5282.377198
7.332625,1,5282.380643
2.891145,130,5291.474818
13.844394,21,5292.510854
-3.916661,192,5306.332365
-0.751572,172,5319.015116
2.772462,112,5327.143064
-4.835371,150,5337.422811
-3.43515,200,5351.715207
-6.402777,161,5363.790927
-0.804394,151,5374.032073
0.833154,178,5387.013095
-2.233046,97,5393.080494
-6.528293,147,5403.157933
1.432811,120,5411.41302
-7.425136,157,5423.326668
-1.610362,95,5429.28444
1.879321,171,5441.895785
2.814848,141,5451.572258
10.323216,58,5455.795684
-1.379387,119,5464.351763
-6.947727,111,5472.463335
13.473752,30,5473.966675
-1.758301,159,5486.059212
-6.192626,166,5497.208415
-0.712346,158,5509.166712
-3.612852,195,5523.043515
0.620538,121,5531.603321
5.38465,44,5533.842598
-1.134856,127,5542.782597
1.994126,105,5550.579308
-12.933466,136,5560.094259
6.374409,112,5568.203863
2.346403,89,5573.934141
-14.293307,190,5587.715975
1.58587,129,5596.724098
8.079953,40,5600.082338
8.30321,32,5601.669925
-2.466447,179,5614.789744
3.830265,159,5626.812346
6.098022,68,5631.533063
2.342577,125,5640.399352
11.741594,1,5640.401454
-1.167386,162,5651.323052
-0.007081,113,5659.533558
-5.716364,167,5672.04782
-0.992927,137,5681.604547
0.868229,132,5690.815281
-4.372024,170,5717.523386
-5.274563,158,5729.508183
-1.643051,184,5742.956514
0.34128,140,5752.638046
-1.241715,186,5766.218171
-2.282987,94,5772.134941
3.677071,114,5780.387397
-3.975481,147,5790.469059
-6.661894,186,5803.999005
-2.937464,122,5812.638109
10.433283,20,5813.681329
-1.490485,183,5827.079715
-2.343041,140,5838.109362
2.202748,159,5848.904612
-0.894224,106,5856.66628
0.038824,101,5862.909187
-6.906039,85,5869.746382
0.271261,165,5880.789925
-2.716607,129,5889.890697
8.041013,59,5894.205706
14.748589,16,5895.010976
2.773568,143,5906.271388
3.884255,89,5911.987655
-2.937816,163,5924.3079
2.949703,142,5934.045675
-8.384241,211,5949.047836
0.782032,112,5957.174664
1.760328,126,5966.09221
1.023045,120,5974.666183
0.362099,142,5984.501605
7.644785,116,5992.890947
-3.987719,146,6002.90366
14.329038,5,6003.150581
1.541472,132,6012.409806
-1.108529,142,6022.209283
-3.371221,132,6031.44152
-6.880523,91,6038.560202
6.959388,55,6042.718855
-12.616934,185,6056.326821
-0.379661,107,6062.889701
11.187231,96,6070.201989
1.188825,168,6081.450979
6.875223,53,6085.479712
9.133504,43,6088.997018
6.640144,37,6090.885678
0.894553,106,6098.703489
-1.890155,163,6110.992818
-1.217466,204,6125.571521
-1.167817,115,6133.91432
0.986883,110,6140.617813
-5.264272,139,6150.298478
-0.065139,165,6162.758721
-1.819558,195,6176.847381
9.003864,24,6178.030643
0.39365,113,6186.232252
-4.474517,140,6196.003251
6.103188,18,6198.236296
-8.327307,204,6212.845421
-1.942376,113,6220.997892
14.732825,13,6221.693126
1.116402,131,6230.883197
-2.93268,116,6239.223766
13.697835,14,6239.956856
-4.267014,193,6253.897339
-8.734764,153,6264.392052
-6.608318,133,6273.7081
5.42812,38,6276.964449
-3.854155,143,6286.801795
-2.283164,100,6294.29708
0.997631,108,6302.199183
-1.381268,134,6311.559719
0.183072,135,6320.964367
-2.856194,130,6330.163666
-3.117538,117,6338.574559
0.427585,143,6348.480081
-3.689744,148,6358.686236
10.102056,99,6366.168041
-3.265939,152,6376.528987
5.129858,34,6379.545217
7.715765,64,6384.012366
5.851889,22,6385.116755
-2.217556,177,6398.18352
-3.873877,193,6412.546196
0.401455,147,6456.91523
-1.558013,105,6464.652051
2.76347,113,6471.534017
1.183245,96,6478.845325
-13.239504,153,6489.271078
-6.28035,108,6497.150592
1.611092,101,6504.715246
3.885825,112,6511.585076
8.154623,40,6514.940991
-10.220528,123,6523.703771
1.364663,102,6529.958553
2.072854,115,6538.317734
-0.943901,202,6552.787323
0.60456,123,6561.541002
11.78743,28,6564.206969
0.253193,105,6570.651789
1.000674,117,6579.080093
-2.609668,185,6592.609649
12.165836,92,6599.811714
-3.136452,103,6606.164278
-4.650361,161,6618.351448
1.421941,84,6623.826493
0.151486,124,6632.698131
-4.560381,162,6643.693377
